time(ms),voltage_0,voltage_1
0.0,0.0,0.2758789
1.04,0.0036621094,0.25512695
2.08,0.0,0.21728516
3.1200001,0.0036621094,0.1965332
4.16,0.0,0.1586914
5.2000003,0.0036621094,0.1574707
6.2400002,0.0,0.13671875
7.2799997,0.0,0.1171875
8.32,0.0,0.09765625
9.360001,0.0024414062,0.0793457
10.400001,0.0,0.078125
11.44,0.0024414062,0.059814453
12.4800005,0.0,0.061035156
13.5199995,0.0012207031,0.0390625
14.559999,0.0,0.3149414
15.6,0.02319336,0.95825195
16.64,0.37475586,1.3684082
17.68,0.6640625,1.6235352
18.720001,0.84350586,1.7785645
19.76,0.9790039,1.895752
20.800001,1.0546875,1.953125
21.840002,1.0961914,2.0153809
22.88,1.1352539,2.0324707
23.92,1.1547852,2.0544434
24.960001,1.1755371,2.0715332
26.000002,1.1938477,2.0935059
27.039999,1.2109375,2.0898438
28.079998,1.2133789,2.0935059
29.119999,1.2133789,2.1105957
30.160002,1.2109375,2.1118164
31.2,1.2145996,2.1105957
32.24,1.2133789,2.113037
33.28,1.2304688,2.109375
34.320004,1.2329102,2.113037
35.36,1.2304688,2.1118164
36.399998,1.2341309,2.1105957
37.440002,1.2316895,2.1118164
38.48,1.2341309,2.130127
39.52,1.2316895,1.8359375
40.56,0.72509766,1.3293457
41.600002,0.37231445,1.015625
42.64,0.17578125,0.8203125
43.680004,0.061035156,0.68725586
44.72,0.0012207031,0.5883789
45.76,0.0,0.5078125
46.800003,0.0,0.4296875
47.84,0.0,0.390625
48.88,0.0,0.33203125
49.920002,0.0,0.29296875
50.96,0.0,0.25390625
52.000004,0.0,0.21728516
53.039997,0.0036621094,0.1965332
54.079998,0.0,0.1586914
55.120003,0.0036621094,0.1574707
56.159996,0.0,0.119628906
57.200005,0.0036621094,0.1184082
58.239998,0.0,0.100097656
59.280003,0.0012207031,0.078125
60.320004,0.0,0.080566406
61.359997,0.0012207031,0.05859375
62.4,0.0,0.061035156
63.440002,0.0012207031,0.05859375
64.48,0.0,0.25634766
65.520004,0.0036621094,0.92163086
66.56,0.3540039,1.3317871
67.6,0.64819336,1.6052246
68.64001,0.84106445,1.7773438
69.68,0.95703125,1.8774414
70.72,1.0546875,1.9555664
71.76,1.0949707,1.9921875
72.799995,1.1340332,2.03125
73.84,1.1547852,2.0544434
74.880005,1.1755371,2.0715332
75.920006,1.1938477,2.0935059
76.96,1.2109375,2.0898438
78.0,1.2133789,2.0935059
79.04,1.2133789,2.113037
80.079994,1.2121582,2.109375
81.12,1.2145996,2.113037
82.16,1.2316895,2.109375
83.200005,1.2304688,2.1118164
84.24,1.2341309,2.1105957
85.28,1.2304688,2.1118164
86.32,1.2341309,2.1105957
87.36001,1.2316895,2.1118164
88.4,1.2341309,2.1325684
89.44,1.2316895,1.8945312
90.48,0.76416016,1.348877
91.52,0.3918457,1.0351562
92.56,0.17578125,0.8227539
93.600006,0.06225586,0.68481445
94.64001,0.021972656,0.5871582
95.68,0.0,0.5078125
96.72,0.0024414062,0.4309082
97.76,0.0,0.37353516
98.799995,0.0036621094,0.33325195
99.840004,0.0,0.29296875
100.880005,0.0024414062,0.25512695
101.92,0.0,0.21484375
102.96,0.0024414062,0.1965332
104.00001,0.0,0.1586914
105.04,0.0036621094,0.13793945
106.079994,0.0,0.119628906
107.12,0.0036621094,0.1184082
108.159996,0.0,0.09765625
109.2,0.0024414062,0.09887695
110.240005,0.0,0.078125
111.28,0.0,0.05859375
112.31999,0.0,0.05859375
113.36,0.0024414062,0.040283203
114.40001,0.0,0.1977539
115.44001,0.0036621094,0.88012695
116.479996,0.33203125,1.3110352
117.52,0.6262207,1.5820312
118.560005,0.8227539,1.7590332
119.6,0.95947266,1.8786621
120.64001,1.0388184,1.9543457
121.68001,1.09375,1.9946289
122.71999,1.1340332,2.03125
123.759995,1.1547852,2.052002
124.8,1.1755371,2.0715332
125.84,1.1938477,2.0910645
126.880005,1.1950684,2.0910645
127.920006,1.2133789,2.0910645
128.96,1.2133789,2.113037
130.0,1.2121582,2.109375
131.04001,1.2304688,2.109375
132.08,1.2329102,2.1105957
133.12,1.2304688,2.1118164
134.16,1.2341309,2.1105957
135.2,1.2304688,2.1118164
136.24,1.2341309,2.113037
137.28001,1.2316895,2.1118164
138.31999,1.2341309,2.1325684
139.36,1.2316895,1.953125
140.40001,0.7836914,1.3903809
141.44,0.41137695,1.0546875
142.48001,0.1953125,0.83984375
143.52,0.0793457,0.7055664
144.56,0.020751953,0.5883789
145.59999,0.0,0.5102539
146.64,0.0036621094,0.45043945
147.68,0.0,0.3930664
148.72,0.0012207031,0.33203125
149.76001,0.0,0.29296875
150.8,0.0024414062,0.25512695
151.84001,0.0,0.21728516
152.88002,0.0036621094,0.1965332
153.92,0.0,0.17578125
154.96,0.0,0.33203125
