time(ms),voltage_0,voltage_1
0.0,0.0,0.0
1.04,0.0024414062,0.0012207031
2.08,0.0,0.0024414062
3.1200001,0.0036621094,0.0012207031
4.16,0.0,0.0024414062
5.2000003,0.0012207031,0.0
6.2400002,0.0,0.0024414062
7.2799997,0.0012207031,0.0
8.32,0.0,0.0
9.360001,0.0,0.0
10.400001,0.0,0.7421875
11.44,0.25390625,1.2133789
12.4800005,0.60668945,1.5063477
13.5199995,0.8215332,1.6821289
14.559999,0.96069336,1.8005371
15.6,1.0583496,1.8762207
16.64,1.114502,1.9335938
17.68,1.1547852,1.973877
18.720001,1.1755371,1.9934082
19.76,1.1938477,2.0153809
20.800001,1.2133789,2.0153809
21.840002,1.2341309,2.0324707
22.88,1.2316895,2.03125
23.92,1.2329102,2.0544434
24.960001,1.2341309,2.052002
26.000002,1.25,2.0507812
27.039999,1.25,2.0507812
28.079998,1.2524414,2.052002
29.119999,1.25,2.0507812
30.160002,1.2524414,2.0544434
31.2,1.2512207,2.0532227
32.24,1.2536621,2.052002
33.28,1.2524414,2.052002
34.320004,1.2524414,2.052002
35.36,1.2524414,2.0544434
36.399998,1.2536621,2.052002
37.440002,1.2524414,2.0715332
38.48,1.25,2.0703125
39.52,1.2524414,2.0544434
40.56,1.2536621,2.0739746
41.600002,1.2536621,2.0544434
42.64,1.2536621,2.0739746
43.680004,1.2536621,2.0715332
44.72,1.25,2.0507812
45.76,1.2536621,2.0715332
46.800003,1.25,2.0507812
47.84,1.2536621,2.0544434
48.88,1.2536621,2.0739746
49.920002,1.2536621,2.0544434
50.96,1.2536621,2.0739746
52.000004,1.2536621,2.0715332
53.039997,1.2695312,2.0703125
54.079998,1.2695312,2.0703125
55.120003,1.25,2.072754
56.159996,1.2695312,2.0703125
57.200005,1.25,2.072754
58.239998,1.2536621,2.0739746
59.280003,1.2512207,2.072754
60.320004,0.91918945,1.4282227
61.359997,0.4699707,1.0546875
62.4,0.21850586,0.84106445
63.440002,0.100097656,0.7043457
64.48,0.021972656,0.60668945
65.520004,0.0,0.5078125
66.56,0.0,0.45166016
67.6,0.0012207031,0.390625
68.64001,0.0,0.33447266
69.68,0.0036621094,0.29418945
70.72,0.0,0.25390625
71.76,0.0024414062,0.21606445
72.799995,0.0,0.1977539
73.84,0.0036621094,0.17700195
74.880005,0.0,0.1586914
75.920006,0.0012207031,0.13671875
76.96,0.0,0.119628906
78.0,0.0012207031,0.09765625
79.04,0.0,0.080566406
80.079994,0.0036621094,0.0793457
81.12,0.0,0.078125
82.16,0.0,0.05859375
83.200005,0.0,0.05859375
84.24,0.0,0.0390625
85.28,0.0,0.0390625
86.32,0.0024414062,0.040283203
87.36001,0.0,0.041503906
88.4,0.0012207031,0.01953125
89.44,0.0,0.01953125
90.48,0.0024414062,0.020751953
91.52,0.0,0.021972656
92.56,0.0012207031,0.01953125
93.600006,0.0,0.021972656
94.64001,0.0012207031,0.01953125
95.68,0.0,0.0024414062
96.72,0.0036621094,0.0012207031
97.76,0.0,0.0
98.799995,0.0024414062,0.0012207031
99.840004,0.0,0.0
100.880005,0.0024414062,0.0012207031
101.92,0.0,0.0
102.96,0.0024414062,0.0012207031
104.00001,0.0,0.0024414062
105.04,0.0012207031,0.0
106.079994,0.0,0.0024414062
107.12,0.0012207031,0.0
108.159996,0.0,0.0024414062
109.2,0.0012207031,0.0
110.240005,0.0,0.64453125
111.28,0.1953125,1.1547852
112.31999,0.56640625,1.4648438
113.36,0.7836914,1.6638184
114.40001,0.9411621,1.7980957
115.44001,1.0351562,1.8774414
116.479996,1.1132812,1.9335938
117.52,1.1523438,1.9750977
118.560005,1.1743164,1.9958496
119.6,1.192627,2.0141602
120.64001,1.2121582,2.0141602
121.68001,1.2145996,2.034912
122.71999,1.2304688,2.0336914
123.759995,1.2341309,2.0324707
124.8,1.2341309,2.052002
125.84,1.2304688,2.0532227
126.880005,1.25,2.0532227
127.920006,1.2512207,2.0507812
128.96,1.2512207,2.0507812
130.0,1.2524414,2.0544434
131.04001,1.2512207,2.0507812
132.08,1.2524414,2.0544434
133.12,1.2524414,2.052002
134.16,1.2524414,2.0544434
135.2,1.2524414,2.0544434
136.24,1.2536621,2.0739746
137.28001,1.2524414,2.0544434
138.31999,1.2536621,2.0544434
139.36,1.2536621,2.0715332
140.40001,1.25,2.0703125
141.44,1.2536621,2.0715332
142.48001,1.25,2.0532227
143.52,1.2536621,2.0715332
144.56,1.25,2.0507812
145.59999,1.2536621,2.0715332
146.64,1.25,2.072754
147.68,1.2536621,2.0544434
148.72,1.2536621,2.0544434
149.76001,1.2536621,2.0715332
150.8,1.25,2.072754
151.84001,1.2536621,2.0715332
152.88002,1.25,2.072754
153.92,1.2695312,2.0703125
154.96,1.2695312,2.0703125
