time(ms),voltage_0,voltage_1
0.0,0.040283203,0.041503906
0.20799997,0.0390625,0.041503906
0.41599995,0.02319336,0.04272461
0.62399995,0.02319336,0.04272461
0.8319999,0.0012207031,0.15625
1.04,0.17700195,0.29541016
1.2479999,0.2770996,0.4309082
1.4559999,0.3552246,0.52856445
1.6639998,0.45166016,0.6262207
1.872,0.5114746,0.72631836
2.08,0.5871582,0.80078125
2.2879999,0.64453125,0.87890625
2.4959998,0.703125,0.9375
2.704,0.7434082,1.015625
2.9119997,0.80078125,1.0546875
3.1200001,0.83984375,1.1157227
3.3279996,0.88256836,1.1730957
3.5359998,0.9020996,1.2145996
3.744,0.9387207,1.25
3.952,0.9777832,1.2890625
4.16,0.99853516,1.3293457
4.368,1.0351562,1.3500977
4.5759997,1.0583496,1.3903809
4.7839994,1.0754395,1.4086914
4.9919996,1.0974121,1.4489746
5.2,1.114502,1.4648438
5.408,1.1352539,1.4880371
5.6159997,1.1523438,1.5039062
5.8239994,1.1547852,1.5270996
6.0319996,1.1730957,1.5454102
6.2400002,1.192627,1.5625
6.4479995,1.1950684,1.583252
6.655999,1.2109375,1.5844727
6.864,1.2145996,1.6052246
7.0719995,1.2316895,1.6235352
7.2799997,1.2341309,1.6223145
7.488,1.2524414,1.6418457
7.695999,1.2524414,1.6418457
7.904,1.2719727,1.661377
8.1119995,1.270752,1.6625977
8.32,1.270752,1.6601562
8.528,1.2731934,1.6833496
8.736,1.2902832,1.6821289
8.943999,1.2902832,1.6821289
9.151999,1.2927246,1.7004395
9.36,1.2927246,1.7004395
9.567999,1.3110352,1.7004395
9.776,1.3098145,1.71875
9.983999,1.3085938,1.71875
10.191999,1.3110352,1.7224121
10.4,1.3098145,1.7211914
10.608,1.3122559,1.7224121
10.816,1.3317871,1.5856934
11.023999,1.1523438,1.4257812
11.231999,1.0375977,1.3122559
11.44,0.95825195,1.1938477
11.647999,0.8605957,1.0961914
11.855999,0.80200195,0.99609375
12.063999,0.72509766,0.92163086
12.271999,0.6677246,0.84106445
12.4800005,0.60791016,0.76538086
12.687999,0.56762695,0.7055664
12.895999,0.5114746,0.64819336
13.104,0.4724121,0.60668945
13.311998,0.4296875,0.5493164
13.519999,0.41015625,0.5078125
13.728,0.37353516,0.4699707
13.936,0.3515625,0.4321289
14.143999,0.3161621,0.3918457
14.351999,0.29418945,0.37353516
14.559999,0.2746582,0.33203125
14.767999,0.25390625,0.3125
14.976,0.2368164,0.29418945
15.184,0.21606445,0.2758789
15.391998,0.1965332,0.25634766
15.599999,0.17822266,0.23803711
15.808,0.17700195,0.21484375
16.015999,0.1574707,0.1953125
16.223999,0.13916016,0.17944336
16.432,0.13793945,0.17822266
16.64,0.1184082,0.15625
16.848,0.1184082,0.13916016
17.056,0.10131836,0.14038086
17.264,0.100097656,0.12084961
17.472,0.10131836,0.1184082
17.679998,0.080566406,0.1184082
17.887999,0.078125,0.09765625
18.096,0.078125,0.100097656
18.303999,0.059814453,0.100097656
18.512,0.059814453,0.080566406
18.72,0.059814453,0.080566406
18.928,0.05859375,0.078125
19.135998,0.0390625,0.061035156
19.344,0.04272461,0.059814453
19.552,0.041503906,0.06225586
19.759998,0.040283203,0.061035156
19.967999,0.040283203,0.041503906
20.175999,0.0390625,0.0390625
20.383999,0.041503906,0.040283203
20.592,0.02319336,0.04272461
20.8,0.020751953,0.13671875
21.007998,0.1586914,0.2770996
21.216,0.25756836,0.41381836
21.424,0.3527832,0.5078125
21.632,0.4321289,0.60913086
21.839998,0.5078125,0.703125
22.047998,0.56884766,0.7824707
22.255997,0.6286621,0.8630371
22.463999,0.68725586,0.9387207
22.672,0.7421875,0.99609375
22.88,0.7836914,1.0559082
23.088,0.8239746,1.1169434
23.295998,0.8605957,1.1547852
23.504,0.9008789,1.2121582
23.711998,0.9375,1.2524414
23.919998,0.9765625,1.2915039
24.127998,0.99731445,1.3305664
24.335999,1.0192871,1.3513184
24.543999,1.0583496,1.3879395
24.751999,1.0754395,1.4086914
24.960001,1.0974121,1.4465332
25.167997,1.1132812,1.4672852
25.375998,1.1340332,1.484375
25.584,1.1364746,1.505127
25.791998,1.1547852,1.5246582
26.0,1.1730957,1.5454102
26.208,1.1730957,1.5649414
26.415997,1.1950684,1.5661621
26.623997,1.2145996,1.583252
26.831999,1.2145996,1.6052246
27.039997,1.2316895,1.6040039
27.248,1.2329102,1.6247559
27.456,1.2512207,1.6430664
27.663998,1.2524414,1.6418457
27.872,1.2524414,1.6638184
28.079998,1.2695312,1.6625977
28.287998,1.270752,1.6625977
28.495998,1.2731934,1.6833496
28.703999,1.2902832,1.6796875
28.911999,1.2902832,1.6821289
29.119999,1.2927246,1.7004395
29.328001,1.2927246,1.7028809
29.535997,1.3098145,1.6992188
29.743998,1.3098145,1.7016602
29.952,1.3122559,1.7224121
30.159998,1.3110352,1.7224121
30.368,1.3098145,1.7211914
30.576,1.3122559,1.7224121
30.783997,1.3317871,1.6223145
30.991997,1.1535645,0.061035156
